KjøpSelg,Navn,Utv. i dag,I dag %,Siste,I dag +/-,Valuta,I dag,Omsetning,Børsverdi,Antall eiere,
KjøpSelg,EQUINOR,,"+1,60%","272,40","+4,30",NOK,"+1,60%272,40NOK",176MNOK,744 336MNOK,47 861,
KjøpSelg,AKER SOLUTIONS,,"+2,83%","33,42","+0,92",NOK,"+2,83%33,42NOK",103MNOK,16 734MNOK,12 830,
KjøpSelg,AKER BP,,"+2,51%","228,3","+5,6",NOK,"+2,51%228,3NOK",91MNOK,144 480MNOK,24 762,
KjøpSelg,YARA INTERNATIONAL,,"+2,22%","317,8","+6,9",NOK,"+2,22%317,8NOK",84MNOK,81 359MNOK,22 195,
KjøpSelg,KONGSBERG GRUPPEN,,"−0,38%",1 326,−5,NOK,"−0,38%1 326NOK",84MNOK,232 569MNOK,32 540,
KjøpSelg,DNB BANK ASA,,"+0,91%","231,9","+2,1",NOK,"+0,91%231,9NOK",78MNOK,347 013MNOK,19 618,
KjøpSelg,FRONTLINE PLC,,"+0,28%","176,20","+0,50",NOK,"+0,28%176,20NOK",66MNOK,38 678MNOK,15 292,
KjøpSelg,NORSK HYDRO,,"+1,44%","69,18","+0,98",NOK,"+1,44%69,18NOK",49MNOK,138 903MNOK,19 710,
KjøpSelg,MOWI,,"+0,65%","201,4","+1,3",NOK,"+0,65%201,4NOK",46MNOK,104 043MNOK,18 301,
KjøpSelg,BW LPG,,"−3,41%","130,4","−4,6",NOK,"−3,41%130,4NOK",44MNOK,19 190MNOK,6 381,
KjøpSelg,HOEGH AUTOLINERS ASA,,"+2,70%","129,5","+3,4",NOK,"+2,70%129,5NOK",40MNOK,24 609MNOK,10 952,
KjøpSelg,AVANCE GAS HOLDING,,"−6,12%","107,4","−7,0",NOK,"−6,12%107,4NOK",40MNOK,8 486MNOK,3 874,
KjøpSelg,VÅR ENERGI ASA,,"+1,55%","36,66","+0,56",NOK,"+1,55%36,66NOK",37MNOK,91 418MNOK,25 258,
KjøpSelg,HAFNIA LIMITED,,"+2,35%","63,05","+1,45",NOK,"+2,35%63,05NOK",37MNOK,32 394MNOK,6 244,
KjøpSelg,SALMAR,,"+0,60%","585,0","+3,5",NOK,"+0,60%585,0NOK",34MNOK,77 111MNOK,11 079,
KjøpSelg,SUBSEA 7,,"+2,77%","177,9","+4,8",NOK,"+2,77%177,9NOK",33MNOK,53 669MNOK,4 939,
KjøpSelg,NORDIC SEMICONDUCTOR,,"+1,88%","99,80","+1,84",NOK,"+1,88%99,80NOK",30MNOK,19 413MNOK,10 989,
KjøpSelg,MPC CONTAINER SHIPS,,"+1,98%","22,18","+0,43",NOK,"+1,98%22,18NOK",26MNOK,9 775MNOK,30 567,
KjøpSelg,DOF GROUP ASA,,"−1,07%","83,25","−0,90",NOK,"−1,07%83,25NOK",25MNOK,20 872MNOK,5 282,
KjøpSelg,NORWEGIAN AIR SHUTTLE,,"+2,95%","10,975","+0,315",NOK,"+2,95%10,975NOK",23MNOK,10 506MNOK,79 208,
KjøpSelg,GOLDEN OCEAN GROUP,,"−1,23%","108,80","−1,35",NOK,"−1,23%108,80NOK",21MNOK,21 873MNOK,4 627,
KjøpSelg,TELENOR,,"0,00%","128,4","0,0",NOK,"0,00%128,4NOK",21MNOK,176 244MNOK,18 809,
KjøpSelg,SCHIBSTED SER. A,,"+2,19%","392,2","+8,4",NOK,"+2,19%392,2NOK",18MNOK,88 043MNOK,2 492,
KjøpSelg,THOR MEDICAL ASA,,"+11,95%","3,420","+0,365",NOK,"+11,95%3,420NOK",18MNOK,802MNOK,8 703,
KjøpSelg,SCHIBSTED SER. B,,"+2,87%","366,0","+10,2",NOK,"+2,87%366,0NOK",15MNOK,88 043MNOK,1 966,
KjøpSelg,NEL,,"−1,93%","2,895","−0,057",NOK,"−1,93%2,895NOK",15MNOK,4 797MNOK,22 769,
KjøpSelg,TGS ASA,,"+1,48%","109,5","+1,6",NOK,"+1,48%109,5NOK",13MNOK,21 374MNOK,8 606,
KjøpSelg,ORKLA,,"+0,99%","102,4","+1,0",NOK,"+0,99%102,4NOK",12MNOK,102 647MNOK,17 649,
